data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
2353181,360,IDN484,484,"05 December 2018",2018,2,"Battle-No change of territory","TPNPB: West Papua National Liberation Army",,2,"Military Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,Nduga,Yal,Yal,-4.3531,138.4476,1,"Radio New Zealand",International,"Assumed on December 5, 2018, assumed near Yal village (Nduga, Papua), four Papuans were killed as TNI battled West Papua National Liberation Army and troops attempted to evacuate the bodies of the massacre victims killed by the Liberation Army on December 2.",4,1545145642,IDN
2348650,360,IDN482,482,"03 December 2018",2018,1,"Battle-No change of territory","TPNPB: West Papua National Liberation Army",,2,"Military Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,Nduga,Mbua,Mbua,-4.2532,138.494,2,"Jakarta Post",National,"On December 3, 2018, near Mbua district (Nduga, Papua), TPNPB militants attacked a TNI military outpost while in pursuit of the six workers who escaped their execution on December 2. One TNI soldier was killed and another injured in the attack.",1,1544551405,IDN
2319890,764,THA2985,2985,"01 December 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-) Border Patrol Police",,1,12,"South-Eastern Asia",Thailand,Yala,"Krong Pinang",,Saae,6.3936,101.2164,2,"Nation (Thailand)",National,"On 1 December 2018, a Border Patrol police command engaged in a shootout with two suspected Southern Muslim Separatists and shot one dead in Tambon Saae (KP, Yala). They were suspected to have been the perpetrators of a local chief's death on 30 November.",1,1543936756,THA
2319883,764,THA2978,2978,"25 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Songkhla,Thepha,,Thepha,6.8543,100.9549,2,"Nation (Thailand)",National,"On 25 November 2018, two defence volunteers and an assistant village head were shot dead by four male suspected Southern Muslim Separatists who came in to the Tha Yi market on the back of a motorcycle disguised as two couples in Ban Huay Pling village, Tambon Tha Muang in Thepha district (Thepha, Songkhla). The Separatists took two M16 rifles and a pistol before fleeing.",3,1543936756,THA
2319884,764,THA2979,2979,"25 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Songkhla,Thepha,,Thepha,6.8543,100.9549,2,"Asia News Network",Regional,"On 25 November 2018, two gunmen (suspected Southern Muslim Separatists) opened fire at a checkpoint in Ban Tung Don, Tambon Tha Muang, in Thepha district (Thepha, Songkhla) on security volunteers, injuring two of them. It is thought that this event was directly linked to the attack earlier that day at the market killing two volunteers and an assistant village head.",0,1543936756,THA
2319886,764,THA2981,2981,"25 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Thai Rangers","Military Forces of Thailand (2014-) Volunteer Defense Corps",1,12,"South-Eastern Asia",Thailand,Narathiwat,Ra-Ngae,,"Ban Ai Pa Se",6.2463,101.7546,1,"Asia News Network",Regional,"On 25 November 2018, suspected Southern Muslim Separatists opened fire on six rangers and volunteer security at the school in Ban Ai Pa Se (Ra-Ngae, Narathiwat) who fired back until the Separatists retreated. No injuries or deaths occurred.",0,1543936756,THA
2319882,764,THA2977,2977,"24 November 2018",2018,1,"Battle-No change of territory","Military Forces of Thailand (2014-)",,1,"Unidentified Armed Group (Thailand)",,3,13,"South-Eastern Asia",Thailand,"Chiang Rai","Mae Sai",,"Wiang Phang Kham",20.4128,99.8853,2,"Network Media Group",National,"On 24 November 2018, Thai border authorities engaged in a shootout with suspected drug traffickers in Wiang Phang Kham village tract (Mae Sai, Chiang Rai) in which five men were killed and one million methamphetamine pills were seized.",5,1543936756,THA
2157072,764,THA2975,2975,"22 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Pattani,Kapho,,Kapho,6.5596,101.5342,2,"Nation (Thailand)",National,"On 22 November 2018, two civilian defence volunteers were shot at close range while watching over the market at Taloh Duh Raman village in Tambon Taloh Duh Raman in Kapho district (Kapho, Pattani) by suspected Southern Muslim Separatists.",2,1543330029,THA
1989543,764,THA2971,2971,"17 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Thai Rangers",,1,12,"South-Eastern Asia",Thailand,Pattani,"Nong Chik",,"Ban Kholo Tanyong",6.7302,101.2552,2,"Bangkok Post",National,"On 17 November 2018, unidentified men suspected to be Southern Muslim Separatists fired about 10 rifle shots at an operation base of Ranger Company 4316 at Ban Bango Sako in tambon Kholo Tanyong (Nong Chik, Pattani). No fatalities or casualties were reported.",0,1542726257,THA
1989542,764,THA2970,2970,"14 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-)",,1,12,"South-Eastern Asia",Thailand,Narathiwat,Bacho,,Bacho,6.5168,101.651,2,"Nation (Thailand)",National,"On 14 November 2018, suspected Southern Muslim Separatists opened fire at a marine post inside the Urairatanaram Temple in Bacho district (Bacho, Narathiwat). No fatalities or casualties were reported.",0,1542726257,THA
1955835,360,IDN455,455,"09 November 2018",2018,1,"Battle-No change of territory","Islamist Militia (Indonesia)",,4,"Police Forces of Indonesia (2014-)",,1,14,"South-Eastern Asia",Indonesia,Jakarta,Jakarta,Jakarta,Jakarta,-6.2146,106.845,2,"The Canadian Press",National,"On November 9, 2018, in Jakarta (North Jakarta, Jakarta), an Islamic militant armed with a machete attempted attack on a police station and was shot in the hand by police.",0,1542122913,IDN
1955832,360,IDN452,452,"03 November 2018",2018,1,"Battle-No change of territory","TPNPB: West Papua National Liberation Army",,2,"Military Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,"Lanny Jaya",Tiom,Tiom,-3.9236,138.455,2,"Radio New Zealand News International",International,"On November 3, 2018, in Lanny Papua regency (Papua), West Papua Liberation Army militants and TNI military forces engaged in a gunfight while the TNI was evacuating the body of a civilian who had been killed earlier. Two Liberation Army militants were killed in the gunfight.",2,1542122913,IDN
1947837,764,THA2968,2968,"02 November 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Thai Rangers",,1,12,"South-Eastern Asia",Thailand,Pattani,Yaring,,Yaring,6.8661,101.3689,2,"Bangkok Post",National,"On 02-November-2018, at Ban Tanyong Dalor market, in Yaring district, Pattani, two volunteer rangers providing security were shot dead by four gunmen on two motorcycles (coded as southern Muslim separatists).",2,1541522738,THA
1895491,360,IDN446,446,"18 October 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-) Detachment 88",,1,12,"South-Eastern Asia",Indonesia,"North Sumatra",Tanjungbalai,Tanjungbalai,Tanjungbalai,2.9666,99.8,1,"Deutsche Presse-Agentur",National,"On October 18, 2018, in Tanjungbalai district (Tanjung Balai, North Sumatra), Detachment 88 anti-terrorism forces exchanged gunfire with Jemaah Ansharut Daulah (JAD) militants, killing two JAD members.",2,1540322749,IDN
1891913,764,THA2963,2963,"11 October 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-) Border Patrol Police",,1,12,"South-Eastern Asia",Thailand,Narathiwat,Rueso,,"Ban Manang Pan Yang",6.4297,101.5794,1,"The Nation",National,"On 11 October 2018, Thai Border Patrol officers and suspected separatists engaged in a battle on their return to their base in Ban Manang Pan Yang in Tambon Samakkhee (Rueso, Narathiwat). Three officers were injured in the exchange.",0,1539703907,THA
1891911,764,THA2961,2961,"08 October 2018",2018,1,"Battle-No change of territory","Military Forces of Thailand (2014-) Thai Rangers",,1,"Southern Muslim Separatists (Thailand)",,2,12,"South-Eastern Asia",Thailand,Songkhla,Thepha,,Thepha,6.8543,100.9549,2,"Bangkok Post; Bernama Daily",National-Regional,"On 8 October 2018, after a short firefight between an armed group (suspected separatists) and the national security forces, led by the 43rd Ranger Task Force, in Thepha district (Thepha, Song), a member of the armed group died and two others were captured.",1,1539703907,THA
1891874,360,IDN441,441,"03 October 2018",2018,2,"Battle-No change of territory","Military Forces of Indonesia (2014-)",,1,"TPNPB: West Papua National Liberation Army",,2,12,"South-Eastern Asia",Indonesia,Papua,"Puncak Jaya",Tingginambut,Tingginambut,-3.7008,138.0857,1,"Radio New Zealand",National,"Assumed on October 3, 2018, in Tingginambut district (Puncak Jaya, Papua), TNI forces mounted a land and air attack against West Papua Liberation Army forces. Two Liberation Army members and five civilians were killed in the attack. The Liberation Army leader and the rest of his forces fled into the forest.",7,1539703907,IDN
1879147,764,THA2949,2949,"19 September 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-)",,1,12,"South-Eastern Asia",Thailand,Yala,Raman,,Raman,6.4786,101.4241,2,"The Nation",National,"On 19 September 2018, a policeman and four villagers were ambushed by suspected Southern Muslim Separatists after returning from a hunting trip in Raman district (Raman, Yala). The policeman and villagers returned fire. The policeman was shot and killed; the four villagers were injured.",1,1538772218,THA
2366351,764,THA2946,2946.0,"11 September 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Thai Rangers",,1,12,"South-Eastern Asia",Thailand,Pattani,"Nong Chik",,"Ban Bang Khao",6.8333,101.15,2,"The Bangkok Post",National,"On 11 September 2018, 2 patrolling paramilitary rangers were killed and 4 were injured after being ambushed by gunmen on motorcycles suspected to be Southern Muslim Separatists in Ban Donna in tambon Bang Khao (NC, Pattani).",2,1545241345,THA
2366352,764,THA2944,2944.0,"09 September 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Pattani,"Mueang Pattani",,Bana,6.8763,101.258,2,"The Bangkok Post",National,"On 9 September 2018, a security guard, who was also a village defence volunteer, was shot point blank by a lone gunman in front of a school in tambon Bana (MP, Pattani). Police suspect it was the work of Southern Muslim Separatists.",1,1545241345,THA
2366353,764,THA2942,2942.0,"08 September 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Narathiwat,Chanae,,"Ban Chang Phueak",5.9736,101.6119,2,"Agence France Presse; The Bangkok Post",National-International,"On 8 September 2018, a group of 5 suspected Southern Muslim Separatists ambushed a sentry building defended by village defence volunteers in tambon Chang Phueak (Chanae, Narathiwat) killing 2 volunteers and injuring 2 others. They also set fire to a truck before leaving.",2,1545241345,THA
2366354,360,IDN425,425.0,"03 September 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-) Detachment 88",,1,12,"South-Eastern Asia",Indonesia,"Central Java",Tegal,Tegal,Tegal,-6.8694,109.1402,1,"Benar News",National,"On September 3, 2018, in Tegal town (Tegal, Central Java), Densus 88 shot and killed two JAD militants during a raid. The two militants were suspected in the shooting of two traffic officers in West Java on August 24, 2018.",2,1545241345,IDN
2366358,360,IDN423,423.0,"24 August 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,"West Java",Cirebon,Cirebon,Cirebon,-6.7063,108.557,2,"The Jakarta Post; Xinhua News Agency",National-International,"On August 24, 2018, near Cirebon town (Cirebon, West Java), three Jamaah Ansharut Daulah (JAD) militants shot two policemen who were on patrol, killing one policeman and seriously injuring the other.",1,1545241345,IDN
2366359,360,IDN421,421.0,"19 August 2018",2018,2,"Battle-No change of territory","OPM: Free Papua Movement",,2,"Military Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,"Puncak Jaya",Tigginambut,Tigginambut,-3.6975,138.084,1,Tempo.co,National,"Assumed on August 19, 2018, in Tigginambut village (Puncak Jaya, Papua), armed Papua separatists attacked and killed two TNI Army officers during a mission to distribute food to Papuan children.",2,1545241345,IDN
2366360,764,THA2931,2931.0,"16 August 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-)","Police Forces of Thailand (2014-)",1,12,"South-Eastern Asia",Thailand,Yala,"Mueang Yala",,Yala,6.5399,101.281,3,"Khaosod English",National,"On 16 August 2018, suspected SMS militants and a combined force of military and police personnel clashed during a raid of a forest house in Yala province. 5 militants surrendered immediately, while 2 others fired at the forces and were killed.",2,1545241345,THA
2366362,764,THA2928,2928.0,"11 August 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Thai Rangers",,1,12,"South-Eastern Asia",Thailand,Pattani,Panare,,Panare,6.8619,101.491,2,"Bangkok Post",National,"On Aug 11, 2018, a volunteer ranger was shot and killed in an ambush by suspected Southern Muslim Separatists at a roadside pavilion opposite a military outpost in Panare district (Panare, Pattani).",1,1545241345,THA
2366363,764,THA2924,2924.0,"08 August 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Pattani,Kapho,,"Ban Plong Hoi",6.5942,101.5221,1,"Bangkok Post",National,"On Aug 8, 2018, suspected Southern Muslim Separatists shot and injured defence volunteer Lukman Maweacha in front of the school in Ban Plong Hoi town (Kapho, Pattani).",0,1545241345,THA
2366364,764,THA2922,2922.0,"07 August 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Narathiwat,"Su-Ngai Padi",,"To Daeng",6.0832,101.9566,2,"Bangkok Post",National,"On Aug 7, 2018 two defence volunteers were killed in an ambush and their motorcycle was torched by suspected Southern Muslim Separatists on Bah Toh Deng Road in tambon To Daeng (Su-Ngai Padi, Narath).",2,1545241345,THA
2366365,360,IDN416,416.0,"06 August 2018",2018,1,"Battle-No change of territory","TPNPB: West Papua National Liberation Army",,2,"Military Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,Paniai,Enarotali,Enarotali,-3.9303,136.3765,2,"The Jakarta Post",National,"On August 6, in Wagemuga village (Enarotali, Paniai, Papua), West Papua National Liberation Army members attacked TNI military and a group of surveyors, seizing weapons and injuring five TNI members.",0,1545241345,IDN
2366366,360,IDN235,235.0,"15 July 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,"West Java",Indramayu,Indramayu,Indramayu,-6.3263,108.32,1,Tempo.co,National,"On July 15, in Indramayu city (Indramayu, West Java), two JAD militants threw an explosive at a police station. There were no injuries.",0,1545241345,IDN
2366367,360,IDN233,233.0,"14 July 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-) Detachment 88",,1,12,"South-Eastern Asia",Indonesia,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,-7.795,110.369,1,"Reuters News",International,"On July 14, in Yogyakarta city (Yogyakarta, Yogyakarta), Detachment 88 security forces shot and killed three JAD militants after the militants attacked them with sharp weapons. Two Detachment 88 members were injured.",3,1545241345,IDN
2366368,360,IDN234,234.0,"14 July 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-) Detachment 88",,1,12,"South-Eastern Asia",Indonesia,Yogyakarta,Sleman,Ngaglik,Ngaglik,-8.1541,110.7477,2,"The Jakarta Post",National,"On July 14, in Ngaglik district (Sleman, Yogyakarta, Yogyakarta), Densus 88 units killed three JAD militants during a security operation.",3,1545241345,IDN
2366369,360,IDN232,232.0,"11 July 2018",2018,1,"Battle-No change of territory","OPM: Free Papua Movement",,2,"Police Forces of Indonesia (2014-) Mobile Brigade Corps",,1,12,"South-Eastern Asia",Indonesia,Papua,Nduga,Kenyam,Kenyam,-4.5997,138.384,2,"The Jakarta Post",National,"On July 11, near Alguru village near Kenyam (Nduga, Papua), Brimob forces and West Papua National Liberation Army (OPM: Free Papua Movement) exchanged gunfire after OPM forces shot at a police helicopter. No one was injured in the incident.",0,1545241345,IDN
2555736,764,THA2918,2918,"10 July 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-)",,1,12,"South-Eastern Asia",Thailand,Narathiwat,Cho-Airong,,Chuap,6.2666,101.8333,2,"The Bangkok Post",National,"On July 10, a solider was shot dead by Southern Muslim Separatists on a road side in Cho Airong district, Narathiwat.",1,1546889783,THA
2366371,764,THA2915,2915.0,"04 July 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Private Security Forces (Thailand)",,8,28,"South-Eastern Asia",Thailand,Pattani,"Khok Pho",,"Khok Pho",6.7313,101.1052,2,"The Bangkok Post",National,"On July 4, a school security guard was shot dead by Southern Muslim Separatists in Ban Khlong Hin in Pattani's Khok Pho district.",1,1545241345,THA
2366372,360,IDN228,228.0,"23 June 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,"West Java",Depok,Depok,Depok,-6.3975,106.8119,1,"The Straits Times",Regional,"On June 23, in Depok (Depok, West Java), police killed two JAD militants after they tried to attack the officers with a knife and a gun while they were being arrested.",2,1545241345,IDN
2366373,360,IDN227,227.0,"22 June 2018",2018,1,"Battle-No change of territory","JAD: Jemaah Ansharut Daulah",,2,"Police Forces of Indonesia (2014-) Detachment 88",,1,12,"South-Eastern Asia",Indonesia,"West Java",Subang,Pamanukan,Pamanukan,-6.2841,107.8105,1,"Jakarta Post",National,"On June 22, in Pamanukan (Subang, West Java), National Police's Densus 88 counterterrorism squad shot dead a suspected JAD militant who was armed wearing a bomb and resisted arrest under the Jl. E. Tirtapraja overpass, trying to stab police officers with a knife.",1,1545241345,IDN
2366374,764,THA2906,2906.0,"20 June 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-)",,1,12,"South-Eastern Asia",Thailand,Pattani,Kapho,,Kapho,6.5596,101.5342,2,"The Bangkok Post",National,"On June 20, a Southern Muslim Separatist leader Sulaiman Muhama was killed in Kapho district of Pattani in an exchange of gunfire with the Thai Army.",1,1545241345,THA
